generation,iteration,seq,angle,throwSec,poppedBloons,totalPoppedBloons
1,1,1,0.6202040021324785,0.2906100296370169,10,10
1,1,2,0.5409326181043066,0.36485750598418154,0,10
1,1,3,0.28662331671295554,0.4511804218155736,4,14
1,1,4,0.24684634692771745,0.4957259676848462,0,14
1,1,5,0.9306152295807483,0.5852267439433416,-14,14
1,2,1,1.0902384651676247,0.7398965377548115,2,2
1,2,2,0.3816510915305516,0.21895761200648411,6,8
1,2,3,1.3801629140056015,0.5874742744020006,8,16
1,2,4,0.6097213724201198,0.4123742789032335,11,27
1,2,5,1.535828797070967,0.6333455780954582,-27,27
1,3,1,0.10304588106314899,0.7772055099232738,0,0
1,3,2,0.3848526562411205,0.28864053666263756,6,6
1,3,3,0.6335611955794682,0.7438092060345685,16,22
1,3,4,1.0599532865520327,0.2899715310580818,11,33
1,3,5,0.24848959792932784,0.3756085909571492,0,33
1,4,1,0.578166279705246,0.2216105994165046,10,10
1,4,2,1.1360768786661775,0.3916821452245147,14,24
1,4,3,1.1448802788535635,0.691925024615466,0,24
1,4,4,0.8842218482523126,0.7388377803100625,5,29
1,4,5,0.8100295743602264,0.7038934001927151,0,29
1,5,1,1.2369176721659165,0.3784682255815729,15,15
1,5,2,0.24337478415712785,0.30496539635737746,3,18
1,5,3,0.9586331007007618,0.6113997929462444,6,24
1,5,4,0.2791851957665719,0.29755857597555285,0,24
1,5,5,1.127817206854796,0.5594595281736159,-24,24
1,6,1,0.8953444501080576,0.2642334642645413,13,13
1,6,2,1.3747572795939802,0.6307686225391536,8,21
1,6,3,1.2304897491327056,0.28899997492057833,7,28
1,6,4,1.098520464760428,0.44918317967551674,6,34
1,6,5,0.7399142053007319,0.25150116900913166,0,34
1,7,1,1.0524369925778174,0.7485085102691671,5,5
1,7,2,0.5755975313710656,0.5615317214578036,13,18
1,7,3,0.6299549072872356,0.3285624468920276,1,19
1,7,4,0.8944145699930695,0.5788856976372975,11,30
1,7,5,0.5078169611626077,0.6679672307174673,0,30
1,8,1,1.0133732255613475,0.7723850193803483,6,6
1,8,2,0.8850676014699527,0.5303712100696958,14,20
1,8,3,0.489438412142636,0.45376347610624185,11,31
1,8,4,1.4596927168430338,0.6327598598834467,1,32
1,8,5,0.2940356458056922,0.6011671187634711,0,32
1,9,1,0.6204551506783356,0.40610136527162277,13,13
1,9,2,1.3754548015111658,0.7271003234464541,6,19
1,9,3,1.307708258550688,0.33428137420199655,7,26
1,9,4,0.15363483638511571,0.2890004352683446,0,26
1,9,5,0.3724982715161315,0.725324970694907,-26,26
1,10,1,0.6353511446748578,0.6097704620425328,13,13
1,10,2,1.490056545252845,0.4140931652123375,0,13
1,10,3,1.1821616399328612,0.33298270028443555,12,25
1,10,4,1.564575441060839,0.2464946140754199,0,25
1,10,5,1.0941903488833093,0.4882462349169764,-25,25
2,1,1,0.8953444501080576,0.2642334642645413,12,12
2,1,2,1.3747572795939802,0.6307686225391536,10,22
2,1,3,1.2304897491327056,0.2889999749205783,3,25
2,1,4,1.098520464760428,0.4491831796755167,6,31
2,1,5,0.7399142053007319,0.2515011690091316,0,31
2,2,1,0.8969462313917533,0.2642334642645413,12,12
2,2,2,1.3418546828398246,0.6307686225391536,8,20
2,2,3,1.2090215387484966,0.2889999749205783,5,25
2,2,4,1.1065042686009952,0.4491831796755167,8,33
2,2,5,0.7365610441840829,0.2515011690091316,0,33
2,3,1,0.8717947477175438,0.2642334642645413,14,14
2,3,2,1.3209555931848673,0.6307686225391536,6,20
2,3,3,1.2286379247611654,0.2889999749205783,6,26
2,3,4,1.0728931024140151,0.4491831796755167,6,32
2,3,5,0.757150435481949,0.2515011690091316,0,32
2,4,1,0.8700394520320989,0.2642334642645413,14,14
2,4,2,1.3539902438914009,0.6307686225391536,9,23
2,4,3,1.208133398888377,0.2889999749205783,3,26
2,4,4,1.129588836037208,0.4491831796755167,7,33
2,4,5,0.7188345816874907,0.2515011690091316,0,33
2,5,1,0.8776743384582638,0.2642334642645413,13,13
2,5,2,1.3978573285806073,0.6307686225391536,9,22
2,5,3,1.2199752445699183,0.2889999749205783,7,29
2,5,4,1.118851462469339,0.4491831796755167,8,37
2,5,5,0.716432857874445,0.2515011690091316,0,37
2,6,1,0.8975689000625444,0.2642334642645413,13,13
2,6,2,1.315944130681675,0.6307686225391536,6,19
2,6,3,1.2485358801984927,0.2889999749205783,7,26
2,6,4,1.0842205461726961,0.4491831796755167,8,34
2,6,5,0.7243578728203317,0.2515011690091316,0,34
2,7,1,0.9126737012341043,0.2642334642645413,13,13
2,7,2,1.4070296399631588,0.6307686225391536,8,21
