generation,iteration,seq,angle,throwSec,poppedBloons,totalPoppedBloons
1,1,1,1.094827848819518,0.5539912785776765,0,0
1,1,2,1.2902026377988651,0.7399769624787504,0,0
1,1,3,1.1487260615395245,0.4895067358385227,0,0
1,1,4,0.8583057933294983,0.5154758582080208,0,0
1,1,5,0.8433254403638295,0.2432203580682525,0,0
1,1,6,1.2016891655204167,0.5531745421078951,0,0
1,2,1,1.099662045398604,0.3107477108572633,10,10
1,2,2,0.9954083406939467,0.42848193270899976,0,10
1,2,3,1.3300921538621835,0.43409775730405886,8,18
1,2,4,0.9351222447549279,0.5958861208926696,0,18
1,2,5,0.9101386292838469,0.45269544951119844,0,18
1,2,6,1.1059865739375383,0.6536335507370736,-18,18
1,3,1,1.2005711047185268,0.34137558474197766,0,0
1,3,2,0.918127726839909,0.6916003431606209,0,0
1,3,3,0.9570280683593152,0.41508489811983096,0,0
1,3,4,1.105492006837261,0.29288610581690844,0,0
1,3,5,0.9748682268747707,0.2780461354570373,0,0
1,3,6,1.1415983326050938,0.7254436657167327,0,0
1,4,1,1.127160523330279,0.6073447390848212,0,0
1,4,2,1.3562679148416983,0.5150517168701152,7,7
1,4,3,0.9698789327382262,0.2405024652234284,0,7
1,4,4,1.1607966005230534,0.41157052480973827,10,17
1,4,5,1.2127363022837752,0.24143726345812827,5,22
1,4,6,1.24725539414158,0.6442667047143478,-22,22
1,5,1,1.3340573747646136,0.7766885815528122,7,7
1,5,2,1.2938156928430091,0.2458017869357175,0,7
1,5,3,0.8243920410693433,0.39469411585182634,0,7
1,5,4,0.8031849455003429,0.20354327677151296,0,7
1,5,5,1.2271158193602316,0.31643439880947694,1,8
1,5,6,0.9295020428058152,0.7524619510497346,-8,8
1,6,1,0.97825622312683,0.6385782057235289,0,0
1,6,2,1.0858554463289751,0.5968009273693915,0,0
1,6,3,0.9356366025877194,0.24133755410509106,0,0
1,6,4,0.884735779072663,0.5189173901504736,0,0
1,6,5,0.7930599853814637,0.3440247148198054,0,0
1,6,6,1.21370068836791,0.6879235740166529,0,0
1,7,1,1.173006348019089,0.5356801098125764,0,0
1,7,2,1.1238963271879974,0.43193293718850484,0,0
1,7,3,0.8347349910826082,0.542158296941615,0,0
1,7,4,1.317455362066156,0.6394190562840023,0,0
1,7,5,1.1160639429150203,0.45345387393606706,0,0
1,7,6,0.8393352413128976,0.4565906421706685,0,0
1,8,1,1.2579684510682831,0.36175687187653705,7,7
1,8,2,0.9713471682948147,0.20640149569006944,25,32
1,8,3,0.798717126064624,0.6698109516903394,0,32
1,8,4,1.0197619135944218,0.62918448280042,0,32
1,8,5,0.970755711387909,0.4812181259806239,0,32
1,8,6,1.2417913820377788,0.29702146965647497,0,32
1,9,1,1.3875420830215734,0.35929453919449805,0,0
1,9,2,0.9510757646449092,0.6158502416113335,0,0
