generation,iteration,seq,angle,throwSec,poppedBloons,totalPoppedBloons
1,1,1,-0.643930713591931,0.7365046032580078,8,8
1,1,2,-0.836576640410035,0.5827597120300008,0,8
1,1,3,-0.6388430820153745,0.5847477031365329,1,9
1,1,4,-0.4288180746821547,0.4126119973060499,-9,9
1,2,1,-0.7447404697292385,0.38535257321533467,3,3
1,2,2,0.11243566871971988,0.5888716051631635,0,3
1,2,3,-0.0879227352929105,0.7030532603828068,7,10
1,2,4,-0.37122329996357983,0.5206705215366269,-10,10
1,3,1,-0.32784074885473513,0.4736573513081638,13,13
1,3,2,-0.4633600712903447,0.2541253979492505,7,20
1,3,3,0.10304707941222013,0.5446999010634347,0,20
1,3,4,0.028738713400824234,0.22270322986782443,-20,20
1,4,1,-0.8163155805695699,0.4026633425003291,2,2
1,4,2,-0.8242396024466423,0.5471874904776324,0,2
1,4,3,-0.22352803049203207,0.7715966691770724,13,15
1,4,4,0.1516512447394901,0.5717338371235541,-15,15
1,5,1,-0.7196887642132074,0.5923316889682396,4,4
1,5,2,-0.39070780508425407,0.23077478934296217,20,24
1,5,3,-0.25710892811024566,0.7919007454012965,4,28
1,5,4,4.021244658258816e-06,0.5615998364093382,-28,28
1,6,1,-0.6384920060452045,0.4986582792103948,8,8
1,6,2,0.11687068539631706,0.388845584144765,2,10
1,6,3,-0.05997431016228427,0.4456162963499165,6,16
1,6,4,-0.13788287489026152,0.4568016254103872,-16,16
1,7,1,-0.30250430774137727,0.6593717966100887,15,15
1,7,2,0.11389333202783336,0.36549343883064234,1,16
1,7,3,-0.19432540432677037,0.5141332727621022,0,16
1,7,4,-0.6560204396270204,0.21821822505714863,-16,16
1,8,1,-0.06279615448042153,0.2722135985006814,8,8
1,8,2,-0.11613342726153197,0.6519624651703486,10,18
1,8,3,-0.384832741045472,0.34582361373037807,12,30
1,8,4,0.047918418073106706,0.2208734661659796,0,30
1,9,1,-0.6113501008820827,0.3814881391846241,10,10
1,9,2,0.002847649241321859,0.5321273323549038,1,11
1,9,3,-0.47614282769896266,0.34069084031442187,12,23
1,9,4,-0.6580970749775564,0.4060936509668483,-23,23
1,10,1,-0.1305243565515447,0.6869999495874675,11,11
1,10,2,-0.683488621869268,0.7681950267208302,3,14
1,10,3,-0.637572341318639,0.42513854623271136,1,15
1,10,4,-0.2882860875200325,0.34555320803600303,-15,15
2,1,1,-0.0627961544804215,0.2722135985006814,7,7
2,1,2,-0.1161334272615319,0.6519624651703486,7,14
2,1,3,-0.384832741045472,0.345823613730378,13,27
2,1,4,0.0479184180731067,0.2208734661659796,-27,27
2,2,1,-0.0624952163901899,0.2722135985006814,6,6
2,2,2,-0.11918454841915689,0.6519624651703486,9,15
2,2,3,-0.3801347136347811,0.345823613730378,13,28
2,2,4,0.04891820871616027,0.2208734661659796,0,28
2,3,1,-0.06304001920064985,0.2722135985006814,7,7
2,3,2,-0.11543623096287382,0.6519624651703486,7,14
2,3,3,-0.39203998627606307,0.345823613730378,13,27
2,3,4,0.04785462493980274,0.2208734661659796,-27,27
2,4,1,-0.06456382551383417,0.2722135985006814,6,6
2,4,2,-0.11250032364249246,0.6519624651703486,7,13
2,4,3,-0.3796560803426586,0.345823613730378,13,26
2,4,4,0.04792647520399458,0.2208734661659796,-26,26
2,5,1,-0.06436064398503634,0.2722135985006814,7,7
2,5,2,-0.11367660924141083,0.6519624651703486,8,15
2,5,3,-0.3881459813986326,0.345823613730378,11,26
2,5,4,0.04919616581503522,0.2208734661659796,-26,26
2,6,1,-0.06426319980561188,0.2722135985006814,7,7
2,6,2,-0.11153200602009523,0.6519624651703486,8,15
2,6,3,-0.3833621650263799,0.345823613730378,4,19
2,6,4,0.04949876230486089,0.2208734661659796,-19,19
2,7,1,-0.0639196283731509,0.2722135985006814,8,8
2,7,2,-0.11494338375016622,0.6519624651703486,10,18
2,7,3,-0.37963497051278394,0.345823613730378,12,30
2,7,4,0.04788888805047383,0.2208734661659796,0,30
2,8,1,-0.061759266031581175,0.2722135985006814,7,7
2,8,2,-0.11702541400057966,0.6519624651703486,9,16
2,8,3,-0.38996620175242513,0.345823613730378,12,28
2,8,4,0.048268382275797,0.2208734661659796,0,28
2,9,1,-0.062013725594876064,0.2722135985006814,7,7
2,9,2,-0.11549419151492288,0.6519624651703486,7,14
2,9,3,-0.3809494176098668,0.345823613730378,5,19
2,9,4,0.04802160306180986,0.2208734661659796,-19,19
2,10,1,-0.06329152181027597,0.2722135985006814,8,8
2,10,2,-0.11551463868093105,0.6519624651703486,9,17
2,10,3,-0.3775784300416765,0.345823613730378,11,28
2,10,4,0.04655323311248844,0.2208734661659796,-28,28
3,1,1,-0.0639196283731509,0.2722135985006814,8,8
3,1,2,-0.1149433837501662,0.6519624651703486,10,18
3,1,3,-0.3796349705127839,0.345823613730378,12,30
3,1,4,0.0478888880504738,0.2208734661659796,0,30
3,2,1,-0.06552045351756011,0.2722135985006814,7,7
3,2,2,-0.11112212746010083,0.6519624651703486,8,15
3,2,3,-0.3877205259963893,0.345823613730378,12,27
3,2,4,0.049057421624099165,0.2208734661659796,-27,27
3,3,1,-0.06454646345923602,0.2722135985006814,7,7
3,3,2,-0.11435253766592184,0.6519624651703486,7,14
3,3,3,-0.36870089374623893,0.345823613730378,13,27
3,3,4,0.04773566530714291,0.2208734661659796,-27,27
3,4,1,-0.06406454002571207,0.2722135985006814,7,7
3,4,2,-0.11656872313571198,0.6519624651703486,8,15
3,4,3,-0.3892159368405539,0.345823613730378,12,27
3,4,4,0.04705411427382768,0.2208734661659796,-27,27
3,5,1,-0.06274157815755116,0.2722135985006814,7,7
3,5,2,-0.11312978709363702,0.6519624651703486,8,15
3,5,3,-0.38064831811241223,0.345823613730378,13,28
3,5,4,0.04875181933557919,0.2208734661659796,0,28
3,6,1,-0.06258457970586205,0.2722135985006814,7,7
3,6,2,-0.1169211619227227,0.6519624651703486,9,16
3,6,3,-0.3834106472482589,0.345823613730378,13,29
3,6,4,0.048085261038472604,0.2208734661659796,0,29
3,7,1,-0.06459771307274297,0.2722135985006814,7,7
3,7,2,-0.11329914529587269,0.6519624651703486,9,16
3,7,3,-0.37721119103363193,0.345823613730378,13,29
3,7,4,0.04651048593088095,0.2208734661659796,0,29
3,8,1,-0.06067391225391008,0.2722135985006814,7,7
3,8,2,-0.11355807943484643,0.6519624651703486,7,14
3,8,3,-0.3826317164810881,0.345823613730378,13,27
3,8,4,0.0495738929011914,0.2208734661659796,-27,27
3,9,1,-0.06238341295742217,0.2722135985006814,7,7
3,9,2,-0.11349677381364101,0.6519624651703486,9,16
3,9,3,-0.38196451965898964,0.345823613730378,5,21
3,9,4,0.04559762008827517,0.2208734661659796,-21,21
3,10,1,-0.062325110010857054,0.2722135985006814,7,7
3,10,2,-0.11700657950442009,0.6519624651703486,9,16
3,10,3,-0.3754439997106703,0.345823613730378,13,29
3,10,4,0.04760883824402097,0.2208734661659796,0,29
4,1,1,-0.0639196283731509,0.2722135985006814,8,8
4,1,2,-0.1149433837501662,0.6519624651703486,10,18
4,1,3,-0.3796349705127839,0.345823613730378,12,30
4,1,4,0.0478888880504738,0.2208734661659796,0,30
4,2,1,-0.06466984026207913,0.2722135985006814,8,8
4,2,2,-0.11963429937428073,0.6519624651703486,10,18
4,2,3,-0.38400252085523195,0.345823613730378,11,29
4,2,4,0.049494507043619414,0.2208734661659796,0,29
4,3,1,-0.062346853496159496,0.2722135985006814,7,7
4,3,2,-0.11448629061041606,0.6519624651703486,9,16
4,3,3,-0.3681224912479507,0.345823613730378,5,21
4,3,4,0.048402154547195625,0.2208734661659796,-21,21
4,4,1,-0.06510162318242799,0.2722135985006814,7,7
4,4,2,-0.11582750010281918,0.6519624651703486,8,15
4,4,3,-0.3727327457800416,0.345823613730378,12,27
4,4,4,0.0504094790484788,0.2208734661659796,-27,27
4,5,1,-0.06272478611628528,0.2722135985006814,8,8
4,5,2,-0.11754629471442966,0.6519624651703486,10,18
4,5,3,-0.3788449864861715,0.345823613730378,4,22
4,5,4,0.04646882127598313,0.2208734661659796,-22,22
